TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,AgeGroup,AmountGroup,Target,PCA1,PCA2
28.31,2023-07-17 17:49:22,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,2024-11-04 08:09:17,Paruh Baya,Kecil,0,1.3713781403325782,0.22915413346017524
59.12,2023-02-06 16:24:24,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,2024-11-04 08:06:58,Dewasa Muda,Kecil,3,0.12220878578489175,-2.0251641456914653
877.81,2023-03-13 17:23:24,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,2024-11-04 08:07:50,Remaja,Besar,2,-2.0325637879721397,1.7624529483666338
255.26,2023-10-27 16:42:49,Credit,San Francisco,Branch,45.0,Doctor,50.0,1.0,14815.87,2024-11-04 08:10:51,Paruh Baya,Sedang,3,1.8670131878613845,0.6858059267062542
124.76,2023-10-16 16:32:56,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,2024-11-04 08:06:23,Paruh Baya,Sedang,0,0.4374177806343516,0.30367779931228556
78.13,2023-11-21 16:58:44,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.61,2024-11-04 08:12:18,Dewasa Muda,Kecil,1,-1.47661472715977,-0.839620143774183
649.28,2023-03-02 17:53:32,Debit,San Jose,ATM,75.0,Retired,137.0,1.0,4875.86,2024-11-04 08:11:15,Lansia,Besar,2,0.9923546945888093,1.1120898806891084
335.63,2023-01-24 17:17:20,Debit,Oklahoma City,Online,55.0,Retired,216.0,1.0,1019.39,2024-11-04 08:07:32,Paruh Baya,Besar,0,-0.49155144598007944,-0.7077602355086001
328.47,2023-07-31 18:39:50,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,2024-11-04 08:07:31,Lansia,Besar,0,0.5583829713045257,0.23383308691673566
34.02,2023-01-09 16:13:21,Debit,Philadelphia,Online,38.0,Doctor,19.0,1.0,14214.48,2024-11-04 08:11:45,Dewasa Muda,Kecil,3,1.6030785500454177,0.2654047312719176
241.42,2023-04-20 18:57:43,Credit,Charlotte,Online,57.0,Doctor,116.0,1.0,13357.02,2024-11-04 08:09:03,Paruh Baya,Sedang,3,1.9971254132677092,-0.024258647694265688
55.32,2023-04-12 16:03:37,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.79,2024-11-04 08:08:03,Remaja,Kecil,1,-1.8291615743786367,-0.6323580777679902
304.31,2023-07-26 16:52:28,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.61,2024-11-04 08:09:53,Dewasa Muda,Besar,1,-1.3786310607094527,1.0288515712931474
435.27,2023-10-04 17:49:29,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,2024-11-04 08:11:12,Lansia,Besar,0,1.058139826427524,0.8729799916549367
164.49,2023-12-13 16:01:38,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,2024-11-04 08:10:33,Dewasa Muda,Sedang,1,-1.305477739600116,0.14600228407628485
510.24,2023-10-09 16:29:40,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.7,2024-11-04 08:11:35,Remaja,Besar,1,-1.885274688896209,0.995124555959929
626.9,2023-11-27 16:45:57,Debit,Denver,Online,26.0,Student,138.0,1.0,265.51,2024-11-04 08:07:24,Dewasa Muda,Besar,2,-1.7879021613145645,1.0491963339343378
22.01,2023-03-27 16:45:18,Credit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.09,2024-11-04 08:06:31,Paruh Baya,Kecil,1,-0.8196241456793042,-1.3317078861313358
425.34,2023-02-13 16:59:39,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.54,2024-11-04 08:07:07,Lansia,Besar,0,0.6826672830412039,0.5325076447988947
424.56,2023-02-21 17:45:55,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,2024-11-04 08:09:17,Paruh Baya,Besar,2,0.008847918256329775,-0.8920158658721092
85.43,2023-06-07 16:45:34,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,2024-11-04 08:06:45,Lansia,Kecil,3,2.696083741704762,-0.8355280278482904
169.5,2023-09-07 16:51:27,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.88,2024-11-04 08:08:58,Dewasa Muda,Sedang,1,-1.4238986819841262,-0.5076533510670027
104.63,2023-03-29 17:47:16,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,2024-11-04 08:10:42,Lansia,Sedang,0,0.668761386048393,-0.21782003793183768
316.95,2023-08-04 17:53:40,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.03,2024-11-04 08:09:15,Remaja,Besar,1,-1.4465425761936015,0.571787106760332
60.54,2023-12-14 17:52:37,Credit,Columbus,Branch,57.0,Retired,52.0,1.0,3534.93,2024-11-04 08:09:57,Paruh Baya,Kecil,0,0.3654260896367105,0.018090986973031967
292.56,2023-03-03 17:37:41,Credit,Dallas,Branch,68.0,Retired,61.0,1.0,4638.37,2024-11-04 08:07:49,Lansia,Sedang,0,0.9048831478730449,0.6923121861937308
386.52,2023-06-09 16:18:15,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,2024-11-04 08:07:09,Paruh Baya,Besar,2,0.29793542323968647,1.3415287289094773
112.07,2023-10-02 16:35:22,Debit,Kansas City,Branch,23.0,Student,51.0,1.0,930.3,2024-11-04 08:11:37,Remaja,Sedang,1,-1.4785861438361203,0.21348841777338814
568.52,2023-10-06 18:44:37,Debit,Indianapolis,ATM,46.0,Engineer,152.0,1.0,5499.91,2024-11-04 08:09:17,Paruh Baya,Besar,2,-0.03794760592561069,0.7063622311902341
349.64,2023-11-07 16:48:23,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,2024-11-04 08:08:09,Paruh Baya,Besar,3,0.23452803164870367,-0.7596533693460942
601.4,2023-05-30 17:43:25,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,2024-11-04 08:08:01,Paruh Baya,Besar,2,0.948760937560169,1.2902237989493064
5.77,2023-11-02 16:01:40,Debit,Charlotte,Online,50.0,Doctor,124.0,1.0,13988.12,2024-11-04 08:11:32,Paruh Baya,Kecil,3,1.9107300695369804,-0.882445401194626
201.33,2023-03-29 17:00:31,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,2024-11-04 08:11:41,Paruh Baya,Sedang,1,-0.6344128496484794,-0.848036357557331
298.42,2023-04-25 16:11:24,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,2024-11-04 08:10:12,Paruh Baya,Sedang,0,-0.08731619071953328,-0.9218881586034657
521.06,2023-04-18 18:40:47,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,2024-11-04 08:12:10,Remaja,Besar,2,-1.4685951626624472,0.7983901431634705
117.28,2023-02-09 16:34:53,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,2024-11-04 08:07:11,Paruh Baya,Sedang,0,0.5351107919815125,0.5646370392025498
189.12,2023-11-13 16:42:28,Credit,Indianapolis,Branch,32.0,Engineer,103.0,1.0,977.01,2024-11-04 08:08:42,Dewasa Muda,Sedang,1,-1.2097699925279515,-0.05454489804307726
133.55,2023-07-18 16:12:00,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.28,2024-11-04 08:10:18,Paruh Baya,Sedang,0,-0.3454826647680221,-1.4135634512851825
143.21,2023-01-13 17:00:16,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,2024-11-04 08:09:26,Dewasa Muda,Sedang,3,-0.13513500281033416,-0.5289556192904387
24.77,2023-07-04 18:20:33,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,2024-11-04 08:12:15,Lansia,Kecil,0,0.9972355918822525,-0.13303040194977578
233.92,2023-10-20 16:54:28,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,2024-11-04 08:08:45,Dewasa Muda,Sedang,1,-0.6899676505264326,-1.6737147692642274
232.12,2023-12-28 17:31:03,Debit,Fort Worth,ATM,37.0,Engineer,51.0,1.0,6689.87,2024-11-04 08:09:17,Dewasa Muda,Sedang,3,0.07986888510049986,0.604268846285896
211.36,2023-06-12 17:53:52,Debit,Kansas City,Online,22.0,Student,113.0,1.0,634.17,2024-11-04 08:08:22,Remaja,Sedang,1,-1.691550116998604,-0.07656797510782111
91.53,2023-03-13 16:32:12,Debit,Milwaukee,Branch,44.0,Doctor,69.0,1.0,14676.05,2024-11-04 08:11:36,Paruh Baya,Kecil,3,1.837840754778071,-0.046256285454614576
120.29,2023-12-18 18:46:27,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.39,2024-11-04 08:06:50,Remaja,Sedang,1,-1.5968277904941035,-0.017548585221354388
174.25,2023-07-17 18:54:31,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,2024-11-04 08:10:29,Paruh Baya,Sedang,3,1.2948575142651804,0.24634394712064986
183.71,2023-06-19 18:22:10,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.52,2024-11-04 08:09:51,Dewasa Muda,Sedang,1,-1.0447802455791884,-0.06486115534008172
345.39,2023-01-02 16:45:05,Credit,Phoenix,Branch,58.0,Engineer,80.0,1.0,6451.96,2024-11-04 08:08:16,Paruh Baya,Besar,0,0.7914529449212477,0.6812381492068276
259.91,2023-11-06 16:34:10,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,2024-11-04 08:09:38,Paruh Baya,Sedang,3,0.4775766504683056,-0.4979268321477278
154.71,2023-07-03 16:40:24,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.72,2024-11-04 08:09:42,Dewasa Muda,Sedang,1,-1.0896435013328392,-0.7091870282157837
24.56,2023-10-20 17:27:35,Debit,Mesa,Branch,64.0,Doctor,69.0,1.0,9869.93,2024-11-04 08:12:05,Lansia,Kecil,3,1.7856607439207506,-0.2753704206493459
568.07,2023-08-28 17:03:53,Debit,Washington,ATM,48.0,Doctor,115.0,1.0,10556.81,2024-11-04 08:07:32,Paruh Baya,Besar,2,1.0095048488688318,1.0726590793322108
9.61,2023-06-22 18:37:29,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,2024-11-04 08:09:10,Paruh Baya,Kecil,3,1.954078881451923,-1.422415837647446
392.96,2023-11-20 16:28:09,Debit,Kansas City,Online,24.0,Student,100.0,1.0,791.65,2024-11-04 08:08:38,Remaja,Besar,1,-1.6340196945361734,0.6543403839908819
716.93,2023-09-14 16:49:33,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,2024-11-04 08:08:12,Paruh Baya,Besar,2,0.35934617428105997,2.3720051218957496
230.66,2023-03-27 18:16:04,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.05,2024-11-04 08:10:44,Remaja,Sedang,1,-1.7706728390349429,-0.23204626613323592
442.12,2023-12-21 16:37:03,Debit,Los Angeles,Online,19.0,Student,260.0,1.0,1375.8,2024-11-04 08:08:21,Remaja,Besar,1,-1.9575064505739137,-0.779772504521649
644.17,2023-03-02 16:05:09,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,2024-11-04 08:08:04,Dewasa Muda,Besar,2,-1.4279318770819012,1.7645691086681519
508.68,2023-06-26 16:16:50,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,2024-11-04 08:09:32,Paruh Baya,Besar,2,0.6177404591023915,0.7553160952324942
858.63,2023-04-18 17:27:23,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,2024-11-04 08:10:47,Dewasa Muda,Besar,2,-1.6051105425246448,1.3467144589275952
25.36,2023-07-17 17:08:24,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.04,2024-11-04 08:11:05,Paruh Baya,Kecil,0,-0.26153164861474637,-0.3575772427120733
147.62,2023-09-01 17:26:02,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,2024-11-04 08:07:22,Lansia,Sedang,0,0.5247006610110225,-0.5082453097109345
115.02,2023-09-11 16:19:04,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,2024-11-04 08:08:38,Dewasa Muda,Sedang,3,0.13241742898559114,-1.0232377528803651
383.37,2023-01-24 17:23:56,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,2024-11-04 08:11:07,Dewasa Muda,Besar,3,0.1824205359246386,1.3777502931831478
98.54,2023-08-11 16:18:46,Credit,El Paso,Online,20.0,Student,167.0,1.0,9383.43,2024-11-04 08:10:02,Remaja,Kecil,3,-0.21122959792115914,-0.9912849946059364
83.24,2023-10-16 18:35:11,Debit,Fort Worth,Branch,55.0,Doctor,164.0,1.0,1181.31,2024-11-04 08:10:52,Paruh Baya,Kecil,0,-0.29877617133447554,-1.0245957055020465
196.16,2023-02-24 16:29:23,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,2024-11-04 08:08:32,Dewasa Muda,Sedang,3,0.06510507735899045,-0.460788300382574
129.94,2023-01-02 16:36:02,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.92,2024-11-04 08:06:35,Dewasa Muda,Sedang,3,-0.0951759759503572,-1.571410482081523
306.9,2023-11-30 16:31:03,Debit,Colorado Springs,Online,46.0,Engineer,51.0,1.0,9418.08,2024-11-04 08:10:48,Paruh Baya,Besar,3,0.9056282523333442,0.8477685538081492
114.98,2023-11-01 16:52:01,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,2024-11-04 08:09:24,Paruh Baya,Sedang,0,0.8615838912993006,-0.08272292327062508
756.59,2023-03-06 16:47:02,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.65,2024-11-04 08:11:40,Dewasa Muda,Besar,2,-1.607902889711241,2.6877832319391866
503.76,2023-11-27 18:32:49,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.82,2024-11-04 08:09:22,Remaja,Besar,1,-1.7312639048375726,1.6720350611005494
143.03,2023-07-31 16:37:46,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.45,2024-11-04 08:10:42,Lansia,Sedang,0,1.255039086111592,-0.6613964661220842
245.54,2023-03-21 16:29:31,Debit,New York,ATM,25.0,Student,180.0,1.0,985.06,2024-11-04 08:10:26,Remaja,Sedang,1,-1.6100978293135757,-0.634175646563265
254.37,2023-04-20 18:26:50,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,2024-11-04 08:06:56,Paruh Baya,Sedang,3,0.857726785089015,-0.557466644337363
213.76,2023-03-01 17:52:14,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,2024-11-04 08:09:36,Lansia,Sedang,0,0.8375107107708941,-1.7812955847179093
327.86,2023-02-10 16:52:48,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.16,2024-11-04 08:06:30,Dewasa Muda,Besar,1,-1.0348970379460534,0.3920803655297588
2.5,2023-07-21 16:43:11,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,2024-11-04 08:09:53,Paruh Baya,Kecil,3,1.480365230821958,-0.7217357904879531
300.08,2023-10-09 17:02:43,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,2024-11-04 08:12:18,Lansia,Besar,3,2.53890328597316,0.8551225409698283
407.65,2023-07-07 16:11:38,Debit,Boston,Online,26.0,Engineer,62.0,1.0,8346.64,2024-11-04 08:09:17,Dewasa Muda,Besar,3,-0.13710929560770177,1.080240329749902
115.83,2023-05-22 17:09:52,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,2024-11-04 08:10:02,Dewasa Muda,Sedang,3,0.011114499922035437,-0.9411664551886024
53.57,2023-08-16 16:17:12,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,2024-11-04 08:08:43,Lansia,Kecil,0,0.4118311989502073,-0.6990894904691888
63.34,2023-11-17 16:02:02,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,2024-11-04 08:10:13,Paruh Baya,Kecil,3,1.1646131383565854,-1.099094803540917
317.87,2023-01-02 16:45:05,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,2024-11-04 08:11:32,Dewasa Muda,Besar,1,-1.5920026863219792,0.4943297064252391
331.65,2023-08-25 17:26:07,Debit,Portland,Online,41.0,Engineer,61.0,1.0,4172.57,2024-11-04 08:11:00,Paruh Baya,Besar,1,-0.2687298346867102,0.833113075614332
5.04,2023-11-27 16:38:34,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,2024-11-04 08:10:48,Paruh Baya,Kecil,0,0.7285483230930753,-0.055962905426926175
214.54,2023-08-04 17:46:44,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,2024-11-04 08:11:56,Lansia,Sedang,3,1.9500438531631537,-1.427364315598582
598.81,2023-09-04 16:48:35,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,2024-11-04 08:10:13,Paruh Baya,Besar,2,-0.3614765884569694,0.7431739419362066
841.28,2023-08-09 17:34:26,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.64,2024-11-04 08:09:58,Dewasa Muda,Besar,2,-1.6388711466115293,2.3391241582871496
38.15,2023-09-07 16:07:40,Debit,Mesa,Online,26.0,Student,108.0,1.0,303.68,2024-11-04 08:07:42,Dewasa Muda,Kecil,1,-1.5210157519548633,-0.6022236931988341
124.72,2023-07-03 17:14:07,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,2024-11-04 08:07:25,Dewasa Muda,Sedang,3,-0.1798173923495511,-0.2895877512766321
302.45,2023-09-25 17:13:36,Credit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,2024-11-04 08:11:55,Lansia,Besar,0,1.416925913674095,0.9307140732987174
208.04,2023-11-20 17:10:02,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,2024-11-04 08:08:45,Paruh Baya,Sedang,3,0.6745988526400079,-1.6988355605941285
5.77,2023-11-17 17:27:07,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.97,2024-11-04 08:10:53,Remaja,Kecil,1,-1.6740491828629096,-2.1675420344020266
381.33,2023-08-21 16:46:05,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,2024-11-04 08:09:32,Paruh Baya,Besar,3,1.6829874404630205,0.8499208255015109
16.16,2023-10-16 16:59:36,Debit,Milwaukee,ATM,50.0,Doctor,124.0,1.0,14401.17,2024-11-04 08:11:59,Paruh Baya,Kecil,3,1.9818778427499066,-0.8481049192737325
486.08,2023-06-20 17:21:50,Debit,Oklahoma City,Online,18.0,Student,68.0,1.0,1748.69,2024-11-04 08:07:03,Remaja,Besar,1,-1.6912879952568523,1.2850089673898024
336.39,2023-01-16 16:53:38,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,2024-11-04 08:09:57,Remaja,Besar,1,-1.5855275136973976,1.2875200503132818
234.57,2023-09-01 16:09:08,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.98,2024-11-04 08:08:47,Remaja,Sedang,1,-1.7369707843735784,-0.06992967919652344
6.0,2023-10-23 18:38:15,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,2024-11-04 08:09:43,Dewasa Muda,Kecil,1,-0.5993556621271212,-2.0907022004698876
227.14,2023-07-03 17:42:08,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.94,2024-11-04 08:11:34,Remaja,Sedang,1,-2.149821624597757,-1.8313863544167879
233.74,2023-10-24 16:41:00,Credit,Oklahoma City,Online,66.0,Retired,17.0,1.0,1066.59,2024-11-04 08:11:17,Lansia,Sedang,0,0.25683069315944274,0.9387252523276431
211.36,2023-09-25 16:54:22,Credit,Jacksonville,Branch,69.0,Retired,166.0,1.0,6077.96,2024-11-04 08:07:21,Lansia,Sedang,0,1.0972534891642653,-0.6268611678824655
45.85,2023-02-16 17:57:10,Debit,Los Angeles,ATM,20.0,Student,92.0,1.0,1659.15,2024-11-04 08:07:24,Remaja,Kecil,1,-1.4951913110646862,-0.4146388708343018
415.5,2023-07-28 16:29:23,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,2024-11-04 08:10:23,Lansia,Besar,3,1.6678168889668996,0.29985474221509406
265.76,2023-02-06 17:48:55,Debit,Philadelphia,Online,54.0,Retired,92.0,1.0,4446.17,2024-11-04 08:12:18,Paruh Baya,Sedang,0,0.2817789279109361,0.29951434568699165
69.4,2023-07-24 18:08:43,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,2024-11-04 08:09:04,Lansia,Kecil,0,1.726445098809849,-0.5723077783520194
332.93,2023-11-20 16:29:48,Credit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,2024-11-04 08:08:14,Dewasa Muda,Besar,1,-1.0672142379508411,-1.4783586594075018
267.9,2023-10-09 16:52:47,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.16,2024-11-04 08:08:34,Remaja,Sedang,1,-1.8615319602551892,-0.358047688167685
496.03,2023-11-03 16:45:52,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,2024-11-04 08:09:41,Lansia,Besar,3,1.7812453275339843,-0.6710255559791269
376.26,2023-02-15 16:41:11,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,2024-11-04 08:09:58,Dewasa Muda,Besar,3,0.19958984832645543,-0.8573146170668607
83.02,2023-09-04 17:59:51,Credit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,2024-11-04 08:11:01,Dewasa Muda,Kecil,3,0.3580216850415688,-1.0892142718694648
93.26,2023-07-27 16:22:52,Credit,New York,Online,20.0,Student,72.0,1.0,1152.2,2024-11-04 08:12:04,Remaja,Kecil,1,-1.5784776143684665,-0.0575278893697535
803.37,2023-04-17 16:08:34,Credit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,2024-11-04 08:08:40,Lansia,Besar,2,1.9915321423054317,1.7039529129500655
